Year,Month,Activity,Effort (Angler trips),Relative standard error
2014,1,Private/Shore,"92,011",14
2014,2,Private/Shore,"89,386",12
2014,3,Private/Shore,"96,032",18
2014,4,Private/Shore,"144,648",13
2014,5,Private/Shore,"267,077",10
2014,6,Private/Shore,"313,073",12
2014,7,Private/Shore,"159,523",9
2014,8,Private/Shore,"141,222",11
2014,9,Private/Shore,"194,498",11
2014,10,Private/Shore,"277,804",9
2014,11,Private/Shore,"197,655",13
2014,12,Private/Shore,"123,317",15
2015,1,Private/Shore,"93,812",16
2015,2,Private/Shore,"74,733",15
2015,3,Private/Shore,"104,859",15
2015,4,Private/Shore,"158,271",12
2015,5,Private/Shore,"209,056",13
2015,6,Private/Shore,"324,061",12
2015,7,Private/Shore,"329,175",8
2015,8,Private/Shore,"207,763",9
2015,9,Private/Shore,"198,384",11
2015,10,Private/Shore,"242,223",11
2015,11,Private/Shore,"171,612",12
2015,12,Private/Shore,"152,557",13
2016,1,Private/Shore,"93,365",18
2016,2,Private/Shore,"128,889",13
2016,3,Private/Shore,"148,257",14
2016,4,Private/Shore,"148,444",12
2016,5,Private/Shore,"242,633",11
2016,6,Private/Shore,"344,138",10
2016,7,Private/Shore,"160,227",9
2016,8,Private/Shore,"99,501",16
2016,9,Private/Shore,"130,049",14
2016,10,Private/Shore,"216,608",11
2016,11,Private/Shore,"198,980",11
2016,12,Private/Shore,"152,256",12
2017,1,Private/Shore,"60,948",17
2017,2,Private/Shore,"113,740",18
2017,3,Private/Shore,"160,928",12
2017,4,Private/Shore,"180,523",14
2017,5,Private/Shore,"212,864",11
2017,6,Private/Shore,"298,734",10
2017,7,Private/Shore,"248,491",8
2017,8,Private/Shore,"204,723",10
2017,9,Private/Shore,"173,189",11
2017,10,Private/Shore,"135,972",11
2017,11,Private/Shore,"244,879",10
2017,12,Private/Shore,"92,359",16
2018,1,Private/Shore,"73,106",23
2018,2,Private/Shore,"79,630",16
2018,3,Private/Shore,"167,904",12
2018,4,Private/Shore,"139,877",13
2018,5,Private/Shore,"350,109",11
2018,6,Private/Shore,"236,673",11
2018,7,Private/Shore,"205,655",9
2018,8,Private/Shore,"254,425",9
2018,9,Private/Shore,"142,156",12
2018,10,Private/Shore,"179,194",11
2018,11,Private/Shore,"178,583",10
2018,12,Private/Shore,"85,328",15
2019,1,Private/Shore,"98,126",15
2019,2,Private/Shore,"80,418",15
2019,3,Private/Shore,"107,475",13
2019,4,Private/Shore,"132,107",13
2019,5,Private/Shore,"301,268",11
2019,6,Private/Shore,"232,055",10
2019,7,Private/Shore,"192,676",10
2019,8,Private/Shore,"201,480",9
2019,9,Private/Shore,"142,542",15
2019,10,Private/Shore,"172,546",11
2019,11,Private/Shore,"158,855",15
2019,12,Private/Shore,"120,335",16
2020,1,Private/Shore,"113,337",13
2020,2,Private/Shore,"82,037",15
2020,3,Private/Shore,"179,774",12
2020,4,Private/Shore,"318,455",8
2020,5,Private/Shore,"334,785",10
2020,6,Private/Shore,"264,181",10
2020,7,Private/Shore,"271,280",8
2020,8,Private/Shore,"240,085",10
2020,9,Private/Shore,"120,493",14
2020,10,Private/Shore,"169,143",11
2020,11,Private/Shore,"164,594",12
2020,12,Private/Shore,"131,540",15
2021,1,Private/Shore,"68,255",25
2021,2,Private/Shore,"45,922",20
2021,3,Private/Shore,"146,137",16
2021,4,Private/Shore,"151,951",12
2021,5,Private/Shore,"170,572",13
2021,6,Private/Shore,"240,442",12
2021,7,Private/Shore,"287,435",9
2021,8,Private/Shore,"132,621",11
2021,9,Private/Shore,"62,645",13
2021,10,Private/Shore,"164,443",15
2021,11,Private/Shore,"124,163",12
2021,12,Private/Shore,"130,040",15
2022,1,Private/Shore,"35,714",20
2022,2,Private/Shore,"51,222",16
2022,3,Private/Shore,"107,432",14
2022,4,Private/Shore,"127,623",15
2022,5,Private/Shore,"174,978",14
2022,6,Private/Shore,"237,254",10
2022,7,Private/Shore,"140,486",10
2022,8,Private/Shore,"95,892",12
2022,9,Private/Shore,"158,044",10
2022,10,Private/Shore,"124,508",12
2022,11,Private/Shore,"92,750",13
2022,12,Private/Shore,"100,727",14
2023,1,Private/Shore,"70,757",17
2023,2,Private/Shore,"62,428",19
2023,3,Private/Shore,"97,909",16
2023,4,Private/Shore,"87,145",15
2023,5,Private/Shore,"184,386",12
2023,6,Private/Shore,"185,661",14
